barcode,status,matriz_name,matriz_list_price,matriz_standard_price,branch_id,branch_name,branch_list_price_before,branch_standard_price_before,branch_list_price_after,branch_standard_price_after,error
7756719004534UNI,NOT_IN_BRANCH,Ampolla - Placenta Life Radiant Intense Repair 15ml Unidad,3.47826087,2.0,,,,,,,
20000146,NOT_IN_BRANCH,PEINE ,0.6521,0.25,,,,,,,
2000147,NOT_IN_BRANCH,PEINILLA MUNDO KAPILAR,0.8695,0.5,,,,,,,
6924372624524,NOT_IN_BRANCH,PALETA FEBBLE ,4.34782609,3.4,,,,,,,
8850520754301,NOT_IN_BRANCH,ACRILICO ADDICT,4.130435,3.75,,,,,,,
8819842589831,NOT_IN_BRANCH,ACRILICO ADDICT,4.130435,3.75,,,,,,,
8672488267323,NOT_IN_BRANCH,CAT EYE ADDICT,4.130435,3.17,,,,,,,
240102,NOT_IN_BRANCH,MASCARILLA HONEY,5.652174,3.5,,,,,,,
0005000901,NOT_IN_BRANCH,LIMA GLAM  NAILS REDONDA,0.4347,0.25,,,,,,,
7861168824128,NOT_IN_BRANCH,UÑAS PARA POLIGEL,3.0434782,2.1,,,,,,,
MARLA2403'74,NOT_IN_BRANCH,BEAUTIFULKISS WAPES ROSA/BLANCO,1.0869,0.75,,,,,,,
7861168874376,NOT_IN_BRANCH,ACRILICO MASTER NAILS BLOSSOM 04 OZ,17.347826,13.0,,,,,,,
8022297035123UNI,NOT_IN_BRANCH,Ampolla - Alfaparf Semi Di Lino Nutritive Essential Oil 13ml Unidad,3.48,2.5,,,,,,,
8022297095851UNI,NOT_IN_BRANCH,Ampolla - Alfaparf Semi Di Lino Energizing Lotion 10ml Unidad,3.47826087,2.0,,,,,,,
8022297161273UNI,NOT_IN_BRANCH,Ampolla - Alfaparf Semi Di Lino Shine Lotion 13ml Unidad,3.48,2.0,,,,,,,
8022297175355UNI,NOT_IN_BRANCH,Ampolla - Alfaparf Semi Di Lino SOS Emergency Oil 13ml Unidad,3.47826087,2.5,,,,,,,
6984160209142,NOT_IN_BRANCH,LIMA DE METAL LIANGYU UNIDAD,0.86956,0.5,,,,,,,
zz'0023f012,NOT_IN_BRANCH,VINCHA  COLORES,0.86956521,0.57,,,,,,,
zz'0035f012,NOT_IN_BRANCH,VINCHA  DE COLORES ,0.86956522,0.48,,,,,,,
ZPV 3172,NOT_IN_BRANCH,VINCHA MATE PLASTICA,2.39130434,1.75,,,,,,,
ZPV 3200,NOT_IN_BRANCH,VINCHA DE PLATICO,1.74,1.2,,,,,,,
ZPV 3171,NOT_IN_BRANCH,VICHA DE METAL FASHION,2.608,2.0,,,,,,,
5528,NOT_IN_BRANCH,PAINTING GEL ADDICT WHITE,2.608696,1.76,,,,,,,
8022297072043,NOT_IN_BRANCH, Acondicionador - Alfaparf Semi Di Lino Cellula Madre 150ml,22.60869565,23.8,,,,,,,
PF021497/V01,NOT_IN_BRANCH, Ampolla - Yellow Star 13ml,3.47826087,2.0,,,,,,,
CARRITOPLASTICO,NOT_IN_BRANCH, CARRITO DE PLASTICO ,41.3043,31.45,,,,,,,
COQ462370,NOT_IN_BRANCH, COQUETAS TOP,4.34782609,3.0,,,,,,,
8022297048185,NOT_IN_BRANCH, Crema - Alfaparf THE HAIR SUPPORTERS 300ML,22.17391304,22.0,,,,,,,
7861168837302,NOT_IN_BRANCH, EFECTO ESPEJO,1.7391304,0.5,,,,,,,
786116883822,NOT_IN_BRANCH, LAB KIT SKINCARE NATURAL ACLARANTE ROSAS PIEL MIXTA ,20.0,16.87,,,,,,,
7861168863844,NOT_IN_BRANCH, LAB KIT SKINCARE NATURAL CARBON ACTIVADO  PIEL GRASA ,21.73913043,16.5125,,,,,,,
6903072380787,NOT_IN_BRANCH, MASCARA HIDRATANTE DE OJOS ALOE VERA  60PCS,1.30434783,0.75,,,,,,,
7702113031133,NOT_IN_BRANCH, MEN FIRMING POMADE 200G,6.95652174,5.2,,,,,,,
2224165248000,NOT_IN_BRANCH, PIENE DE CARBON TONI & GUY,1.73913043,1.0,,,,,,,
6820020220028,NOT_IN_BRANCH, PINZAS COLORES,2.173913,1.9,,,,,,,
842342110500,NOT_IN_BRANCH, POLVO ACRILICO COVER ALMOND 1OZ,11.26086957,10.38,,,,,,,
PLADSH329891,NOT_IN_BRANCH, ROSY MC MICHAEL X BEAUTY CREATIONS,25.652173,19.0,,,,,,,
8033210290079,NOT_IN_BRANCH, SPRAY CACAO & ARGAN ANTI FRIZZ SMOOTHING SPRAY 200ML,22.60869565,19.5,,,,,,,
7861168808142,NOT_IN_BRANCH, TOALLAS DESMAQUILLANTES CON COALGENO 25 TOALLAS ,1.08695652,0.9,,,,,,,
7861168808159,NOT_IN_BRANCH, TOALLAS DESMAQUILLANTES PEPINO 25 TOALLAS ,1.08695652,0.9,,,,,,,
6969315200083,NOT_IN_BRANCH, VENTILADOR MANUAL ,1.3043,0.5,,,,,,,
ZARACC-459,NOT_IN_BRANCH, VINCHA MARIPOSA,1.73913043,1.35,,,,,,,
6900801681009,NOT_IN_BRANCH, VINCHA NIÑA PERRITO,0.43478261,0.3,,,,,,,
ZARACC-443,NOT_IN_BRANCH, VINCHAS GRANDES  PASTELES ,1.30434783,0.75,,,,,,,
8022297000657,NOT_IN_BRANCH,(Shade: 10.1- LIGHTEST ASH BLONDE) ALFAPARF Evolution of the Colour -Cube 3D Hair Dye,6.0869565,5.25,,,,,,,
8022297000428,NOT_IN_BRANCH,(Shade: 5- LIGHT NATURAL BROWN) ALFAPARF Evolution of the Colour -Cube 3D Hair Dye,6.0869565,5.25,,,,,,,
8022297188775,NOT_IN_BRANCH,.13 WARM BEIGE,17.391,10.57,,,,,,,
7702615159182,NOT_IN_BRANCH,1.8 Grafito Tinte Thyms,1.73913043,1.0,,,,,,,
moldeaor del gel,NOT_IN_BRANCH,1/2 moldeador de poly gel pladsh,6.09,4.0,,,,,,,
monomero  1/4,NOT_IN_BRANCH,1/4 litro monomero pladsh,13.04347826,10.0,,,,,,,
842342116496,NOT_IN_BRANCH,2 IN 1 SPATULA/CHISEL,7.39130435,5.464286,,,,,,,
811901015525,NOT_IN_BRANCH,2 in 1 Pusher (PS-720),6.52173913,5.15,,,,,,,
2024042901024,NOT_IN_BRANCH,2024042901024,1.0,0.0,,,,,,,
8022297065052,NOT_IN_BRANCH,222737 4.23 Oz Semi Di Lino Sublime Cristalli Spray for All Hair Types,22.60869565,12.5,,,,,,,
6924372614532,NOT_IN_BRANCH,2EN1,2.17391304,0.92,,,,,,,
717489362009,NOT_IN_BRANCH,3 EN 1 MILANI,17.39130435,17.3,,,,,,,
7896075707110,NOT_IN_BRANCH,3 in 1 Professional Manicure Kit | Manicure  Pedicure & Eyebrow Shaping by Merheje,4.34782609,3.53,,,,,,,
615908431490,NOT_IN_BRANCH,311193 3.38 Oz Bed Head Straighten Out Anti-Frizz Serum,23.91304348,18.5,,,,,,,
8022033007262,NOT_IN_BRANCH,4.1 LIFE COLOR PLUS PROFESSIONAL 100ML,6.08695652,4.71,,,,,,,
246810,NOT_IN_BRANCH,4D COQUETAS MODEL GEL DIFERENTE COOR,5.0,4.0,,,,,,,
8681701004881,NOT_IN_BRANCH,5 IN ONE HAIR CLIPPER,6.5217391,4.93,,,,,,,
8022099007519,NOT_IN_BRANCH,6.35 LIFE COLOR PLUS PROFESSIONAL 100ML,6.08695652,4.71,,,,,,,
0764451968707,NOT_IN_BRANCH,911 COLORS TRATAMIENTO MARTIZANTE,13.91304348,10.36,,,,,,,
7861076255861,NOT_IN_BRANCH,ABLANDADOR CANAS RENE CHARDON X 2 AMP.,2.6087,1.65571429,,,,,,,
7707305133374,NOT_IN_BRANCH,ABLANDADOR DE CALLOS,1.73913044,1.0,,,,,,,
7752999003212,NOT_IN_BRANCH,ABLANDADOR DE CANAS SACHET,0.8695652,0.5,,,,,,,
11,NOT_IN_BRANCH,ABLANDADOR Y REMOVEDOR DE CUTICULA Y CALLOS 250 ML,3.47826087,1.5,,,,,,,
0200500080,NOT_IN_BRANCH,ACCESORIOS DEL CABELLO,0.86956522,0.5,,,,,,,
PLADSH618322,NOT_IN_BRANCH,ACCESORIOS PARA CABELLO MULTICOLOR,1.30435,0.5,,,,,,,
PLADSH222352,NOT_IN_BRANCH,ACCESORIOS PARA UÑAS PLADSH,0.869565,0.25,,,,,,,
