barcode,status,matriz_name,matriz_list_price,matriz_standard_price,branch_id,branch_name,branch_list_price_before,branch_standard_price_before,branch_list_price_after,branch_standard_price_after,error
20000146,NOT_IN_BRANCH,PEINE ,0.6521,0.25,,,,,,,
2000147,NOT_IN_BRANCH,PEINILLA MUNDO KAPILAR,0.8695,0.5,,,,,,,
6924372624524,NOT_IN_BRANCH,PALETA FEBBLE ,4.34782609,3.4,,,,,,,
8850520754301,NOT_IN_BRANCH,ACRILICO ADDICT,4.130435,3.75,,,,,,,
8819842589831,NOT_IN_BRANCH,ACRILICO ADDICT,4.130435,3.75,,,,,,,
8672488267323,NOT_IN_BRANCH,CAT EYE ADDICT,4.130435,3.17,,,,,,,
6952456789180,NOT_IN_BRANCH,PINCEL ADDICT,5.652174,4.3,,,,,,,
240102,NOT_IN_BRANCH,MASCARILLA HONEY,5.652174,3.5,,,,,,,
0005000901,NOT_IN_BRANCH,LIMA GLAM  NAILS REDONDA,0.4347,0.25,,,,,,,
7861168824128,NOT_IN_BRANCH,UÑAS PARA POLIGEL,3.0434782,2.1,,,,,,,
MARLA2312'18,NOT_IN_BRANCH,LAMPARA INALAMBRICA DE CONCHA ,3.0434,2.1,,,,,,,
MARLA2312-19,NOT_IN_BRANCH,DRILL SG702 35000 RPM,30.434,22.35,,,,,,,
MARLA2403'74,NOT_IN_BRANCH,BEAUTIFULKISS WAPES ROSA/BLANCO,1.0869,0.75,,,,,,,
7861168874376,NOT_IN_BRANCH,ACRILICO MASTER NAILS BLOSSOM 04 OZ,17.347826,13.0,,,,,,,
TONY&GUY,NOT_IN_BRANCH,BANDA  PARA DEPILAR TONI & GUY ,0.87,0.6,,,,,,,
6984160209142,NOT_IN_BRANCH,LIMA DE METAL LIANGYU UNIDAD,0.86956,0.5,,,,,,,
7861168702513,NOT_IN_BRANCH,RIZADOR GLAM BEAUTY,1.73913,1.2,,,,,,,
zz'0023f012,NOT_IN_BRANCH,VINCHA  COLORES,0.86956521,0.57,,,,,,,
zz'0035f012,NOT_IN_BRANCH,VINCHA  DE COLORES ,0.86956522,0.48,,,,,,,
ZPV 3172,NOT_IN_BRANCH,VINCHA MATE PLASTICA,2.39130434,1.75,,,,,,,
ZPV 3200,NOT_IN_BRANCH,VINCHA DE PLATICO,1.74,1.2,,,,,,,
ZPV 3171,NOT_IN_BRANCH,VICHA DE METAL FASHION,2.608,2.0,,,,,,,
5528,NOT_IN_BRANCH,PAINTING GEL ADDICT WHITE,2.608696,1.76,,,,,,,
7861073101338,NOT_IN_BRANCH, ALGODON CARICIA 25GR,0.26086957,0.1913,,,,,,,
8022297072043,NOT_IN_BRANCH, Acondicionador - Alfaparf Semi Di Lino Cellula Madre 150ml,22.60869565,23.8,,,,,,,
PF021497/V01,NOT_IN_BRANCH, Ampolla - Yellow Star 13ml,3.47826087,2.0,,,,,,,
CARRITOPLASTICO,NOT_IN_BRANCH, CARRITO DE PLASTICO ,41.3043,31.45,,,,,,,
COQ462370,NOT_IN_BRANCH, COQUETAS TOP,4.34782609,3.0,,,,,,,
7861168701050,NOT_IN_BRANCH, CORAZON EN 3D ROSE,1.30434783,0.51291667,,,,,,,
7861168840241,NOT_IN_BRANCH, CREMA HIDRATANTE FACIAL CON EXTRACTO DE ROSAS  40ML ,8.69565217,7.6,,,,,,,
7861168834356,NOT_IN_BRANCH, DECORACION DORADO DE MAR ,1.73913044,1.5,,,,,,,
7702186023172,NOT_IN_BRANCH, DELINEADOR LIQUIDO PLUMON ULTRA FINO,3.9130434,3.0,,,,,,,
7861168829666,NOT_IN_BRANCH, DONAS PEQUEÑA NEGRA,0.86956522,0.3,,,,,,,
6924372652916,NOT_IN_BRANCH, EXFOLIANTE CORPORAL COCONUT  380G,2.6086,1.0,,,,,,,
786116883822,NOT_IN_BRANCH, LAB KIT SKINCARE NATURAL ACLARANTE ROSAS PIEL MIXTA ,20.0,16.87,,,,,,,
7861168863844,NOT_IN_BRANCH, LAB KIT SKINCARE NATURAL CARBON ACTIVADO  PIEL GRASA ,21.73913043,16.5125,,,,,,,
6924372614587,NOT_IN_BRANCH, LIP GLOSS MATE USHAS,0.8695,0.6,,,,,,,
7703799330022,NOT_IN_BRANCH, MAQUILLAJE CREMOSO ALTO CUBRIMIENTO  ,2.60869565,1.9,,,,,,,
6903072380787,NOT_IN_BRANCH, MASCARA HIDRATANTE DE OJOS ALOE VERA  60PCS,1.30434783,0.75,,,,,,,
7702113031133,NOT_IN_BRANCH, MEN FIRMING POMADE 200G,6.95652174,5.2,,,,,,,
2224165248000,NOT_IN_BRANCH, PIENE DE CARBON TONI & GUY,1.73913043,1.0,,,,,,,
6926084206500,NOT_IN_BRANCH, PINCEL SET 5 TRUE  ,3.91304347,2.25,,,,,,,
6820020220028,NOT_IN_BRANCH, PINZAS COLORES,2.173913,1.9,,,,,,,
842342110500,NOT_IN_BRANCH, POLVO ACRILICO COVER ALMOND 1OZ,11.26086957,10.38,,,,,,,
PLADSH329891,NOT_IN_BRANCH, ROSY MC MICHAEL X BEAUTY CREATIONS,25.652173,19.0,,,,,,,
8033210290079,NOT_IN_BRANCH, SPRAY CACAO & ARGAN ANTI FRIZZ SMOOTHING SPRAY 200ML,22.60869565,19.5,,,,,,,
PF022630/V01,NOT_IN_BRANCH, Shampoo - Alfaparf Semi Di Lino Anti-Orange 250ml,19.13043478,12.5,,,,,,,
7861168808166,NOT_IN_BRANCH, TOALLAS DESMAQUILLANTES CON ALOE VERA  25 TOALLAS ,1.08695652,0.9,,,,,,,
7861168808142,NOT_IN_BRANCH, TOALLAS DESMAQUILLANTES CON COALGENO 25 TOALLAS ,1.08695652,0.9,,,,,,,
7861168808159,NOT_IN_BRANCH, TOALLAS DESMAQUILLANTES PEPINO 25 TOALLAS ,1.08695652,0.9,,,,,,,
6969315200083,NOT_IN_BRANCH, VENTILADOR MANUAL ,1.3043,0.5,,,,,,,
ZARACC-459,NOT_IN_BRANCH, VINCHA MARIPOSA,1.73913043,1.35,,,,,,,
6900801681009,NOT_IN_BRANCH, VINCHA NIÑA PERRITO,0.43478261,0.3,,,,,,,
ZARACC-443,NOT_IN_BRANCH, VINCHAS GRANDES  PASTELES ,1.30434783,0.75,,,,,,,
8022297000428,NOT_IN_BRANCH,(Shade: 5- LIGHT NATURAL BROWN) ALFAPARF Evolution of the Colour -Cube 3D Hair Dye,6.0869565,5.25,,,,,,,
8022297188775,NOT_IN_BRANCH,.13 WARM BEIGE,17.391,10.57,,,,,,,
7702615159182,NOT_IN_BRANCH,1.8 Grafito Tinte Thyms,1.73913043,1.0,,,,,,,
moldeaor del gel,NOT_IN_BRANCH,1/2 moldeador de poly gel pladsh,6.09,4.0,,,,,,,
monomero  1/4,NOT_IN_BRANCH,1/4 litro monomero pladsh,13.04347826,10.0,,,,,,,
842342116496,NOT_IN_BRANCH,2 IN 1 SPATULA/CHISEL,7.39130435,5.464286,,,,,,,
811901015525,NOT_IN_BRANCH,2 in 1 Pusher (PS-720),6.52173913,5.15,,,,,,,
8022297065052,NOT_IN_BRANCH,222737 4.23 Oz Semi Di Lino Sublime Cristalli Spray for All Hair Types,22.60869565,12.5,,,,,,,
8022297012384,NOT_IN_BRANCH,237753 1.52 Oz Semi Di Lino Sublime Cristalli Di Seta - All Hair Types,30.43478261,21.0,,,,,,,
8022297072036,NOT_IN_BRANCH,252666 5.07 Oz Semi Di Lino Sublime Nourishment Multiplier,22.60869565,18.6,,,,,,,
717489362009,NOT_IN_BRANCH,3 EN 1 MILANI,17.39130435,17.3,,,,,,,
7896075707110,NOT_IN_BRANCH,3 in 1 Professional Manicure Kit | Manicure  Pedicure & Eyebrow Shaping by Merheje,4.34782609,3.53,,,,,,,
615908431490,NOT_IN_BRANCH,311193 3.38 Oz Bed Head Straighten Out Anti-Frizz Serum,23.91304348,18.5,,,,,,,
8022033007262,NOT_IN_BRANCH,4.1 LIFE COLOR PLUS PROFESSIONAL 100ML,6.08695652,4.71,,,,,,,
246810,NOT_IN_BRANCH,4D COQUETAS MODEL GEL DIFERENTE COOR,5.0,4.0,,,,,,,
8022033102058,NOT_IN_BRANCH,6.12 LIFE COLOR PLUS PROFESSIONAL 100ML,6.08695652,4.71,,,,,,,
8022099007519,NOT_IN_BRANCH,6.35 LIFE COLOR PLUS PROFESSIONAL 100ML,6.08695652,4.71,,,,,,,
0764451968707,NOT_IN_BRANCH,911 COLORS TRATAMIENTO MARTIZANTE,13.91304348,10.36,,,,,,,
7707178037922,NOT_IN_BRANCH,ABLANDADOR 60ML,1.73913,1.11,,,,,,,
7861076255861,NOT_IN_BRANCH,ABLANDADOR CANAS RENE CHARDON X 2 AMP.,2.6087,1.65571429,,,,,,,
7707178038172,NOT_IN_BRANCH,ABLANDADOR DE CALLOS,1.3043478,0.95,,,,,,,
7707178031227,NOT_IN_BRANCH,ABLANDADOR DE CALLOS 60ML,1.73913043,1.11,,,,,,,
7702615917256,NOT_IN_BRANCH,ABLANDADOR DE CANAS  THYMS,1.73913043,1.32,,,,,,,
7752999003212,NOT_IN_BRANCH,ABLANDADOR DE CANAS SACHET,0.8695652,0.5,,,,,,,
7707178031319,NOT_IN_BRANCH,ABLANDADOR DE CUTICULA 30ML,1.30434155,0.95,,,,,,,
11,NOT_IN_BRANCH,ABLANDADOR Y REMOVEDOR DE CUTICULA Y CALLOS 250 ML,3.47826087,1.5,,,,,,,
6926070211143,NOT_IN_BRANCH,ACCESORIO CABELLO MALLA,0.43478261,0.24625,,,,,,,
6926070211129,NOT_IN_BRANCH,ACCESORIO CABELLO MALLA,0.652174,0.24625,,,,,,,
0200500080,NOT_IN_BRANCH,ACCESORIOS DEL CABELLO,0.86956522,0.5,,,,,,,
PLADSH618322,NOT_IN_BRANCH,ACCESORIOS PARA CABELLO MULTICOLOR,1.30435,0.5,,,,,,,
PLADSH222352,NOT_IN_BRANCH,ACCESORIOS PARA UÑAS PLADSH,0.869565,0.25,,,,,,,
PLADSH4543324,NOT_IN_BRANCH,ACCESORIOS UÑAS VERANO MIX MITCHEL CEDEÑO,3.04347826,2.09,,,,,,,
7707305133497,NOT_IN_BRANCH,ACE-01 ACE-01 ACEITE PARA CUTICULA ALMENDRA 15ML 7707305133497 MARCA CHECO,1.73913043,1.36666667,,,,,,,
7707305133312,NOT_IN_BRANCH,ACE-04 ACE-04 ACEITE PARA CUTICULA COCO 15ML MARCA CHECO,1.73913043,1.36714286,,,,,,,
079567520306,NOT_IN_BRANCH,ACEITE 3 EN 1 30 ML PEQUEÑO,1.30434783,0.95,,,,,,,
